[2025-12-02 15:16:07] [INFO    ] discord.client: logging in using static token
[2025-12-02 15:16:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Golden_cat', 'primary_guild': None, 'mfa_enabled': False, 'id': '1442862200480989256', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2671', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '7c4afc80746bd9e04e099fa186845c18', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1442840006749323387'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1442862200480989256', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-7mwd",{"micros":156815,"calls":["id_created",{"micros":518,"calls":[]},"session_lookup_time",{"micros":3107,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-173",{"micros":152258,"calls":["start_session",{"micros":128640,"calls":["discord-api-prd-canary-rpc-5d6444fccf-7pfzj",{"micros":75520,"calls":["get_user",{"micros":24434},"get_guilds",{"micros":2647},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":545},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":573},"apex_experiments",{"micros":45344},"user_activities",{"micros":6},"played_application_ids",{"micros":4},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":22349,"calls":[]},"guilds_started",{"micros":63,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1154,"calls":[]},"connect_finished",{"micros":1161,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-12-02 15:16:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-02 15:16:09] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 7c4afc80746bd9e04e099fa186845c18).
[2025-12-02 15:16:09] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-02 15:16:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'presences': [], 'icon': '2110b0f6abf0a7af0ff7461b30a4fc4f', 'afk_timeout': 300, 'explicit_content_filter': 0, 'incidents_data': None, 'owner_id': '482422953263366144', 'members': [{'user': {'username': 'Golden_cat', 'public_flags': 0, 'primary_guild': None, 'id': '1442862200480989256', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2671', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1442865601583251479'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T13:12:46.657000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'verification_level': 0, 'profile': None, 'unavailable': False, 'region': 'deprecated', 'guild_scheduled_events': [], 'banner': None, 'embedded_activities': [], 'roles': [{'version': 1764070264570, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1442840006749323387', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1764076366634, 'unicode_emoji': None, 'tags': {'bot_id': '1442862200480989256'}, 'position': 1, 'permissions': '563276639759424', 'name': 'Golden_cat', 'mentionable': False, 'managed': True, 'id': '1442865601583251479', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'id': '1442840006749323387', 'application_command_counts': {}, 'name': "tasukete svarogu's server", 'stage_instances': [], 'inventory_settings': None, 'threads': [], 'lazy': True, 'rules_channel_id': None, 'splash': None, 'discovery_splash': None, 'premium_tier': 0, 'description': None, 'owner_configured_content_level': 0, 'voice_states': [], 'joined_at': '2025-11-25T13:12:46.657000+00:00', 'mfa_level': 0, 'vanity_url_code': None, 'max_video_channel_users': 25, 'features': [], 'preferred_locale': 'en-US', 'premium_progress_bar_enabled': False, 'large': False, 'soundboard_sounds': [], 'moderator_reporting': None, 'premium_features': None, 'latest_onboarding_question_id': None, 'hub_type': None, 'max_members': 25000000, 'nsfw': False, 'member_count': 2, 'home_header': None, 'default_message_notifications': 0, 'nsfw_level': 0, 'max_stage_video_channel_users': 50, 'application_id': None, 'system_channel_flags': 0, 'safety_alerts_channel_id': None, 'channels': [{'version': 1764070264572, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1442840007629996133', 'flags': 0}, {'version': 1764070264575, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1442840007629996134', 'flags': 0}, {'version': 1764070264580, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1442840007629996133', 'name': 'general', 'last_message_id': '1445326772026740756', 'id': '1442840007629996135', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1764070264598, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1442840007629996134', 'name': 'General', 'last_message_id': None, 'id': '1442840007629996136', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'public_updates_channel_id': None, 'premium_subscription_count': 0, 'system_channel_id': '1442840007629996135', 'version': 1764070264606, 'afk_channel_id': None, 'activity_instances': [], 'stickers': [], 'emojis': []}}
[2025-12-02 15:16:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-02 15:16:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '59588b90b93a8b287d911136b22a4651', 'members': [{'user': {'username': 'cuccucthanthanh', 'public_flags': 0, 'primary_guild': None, 'id': '482422953263366144', 'global_name': 'tasukete svarogu', 'display_name_styles': None, 'display_name': 'tasukete svarogu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fdd4317564f1e7015a29745b307a769f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T11:31:04.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Golden_cat', 'public_flags': 0, 'primary_guild': None, 'id': '1442862200480989256', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2671', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1442865601583251479'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T13:12:46.657000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1442840006749323387', 'chunk_index': 0, 'chunk_count': 1}}
[2025-12-02 15:16:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-02 15:16:09] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1442840006749323387.
[2025-12-02 15:16:11] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-02 15:16:11] [DEBUG   ] discord.client: Dispatching event ready
[2025-12-02 15:16:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '482422953263366144', 'timestamp': 1764663372, 'member': {'user': {'username': 'cuccucthanthanh', 'public_flags': 0, 'primary_guild': None, 'id': '482422953263366144', 'global_name': 'tasukete svarogu', 'display_name_styles': None, 'display_name': 'tasukete svarogu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fdd4317564f1e7015a29745b307a769f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T11:31:04.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1442840007629996135', 'guild_id': '1442840006749323387'}}
[2025-12-02 15:16:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-02 15:16:12] [DEBUG   ] discord.client: Dispatching event typing
[2025-12-02 15:16:12] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-12-02 15:16:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-02T08:16:13.175000+00:00', 'pinned': False, 'nonce': '1445327684556029952', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T11:31:04.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1445327685759926433', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!News', 'components': [], 'channel_type': 0, 'channel_id': '1442840007629996135', 'author': {'username': 'cuccucthanthanh', 'public_flags': 0, 'primary_guild': None, 'id': '482422953263366144', 'global_name': 'tasukete svarogu', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'fdd4317564f1e7015a29745b307a769f'}, 'attachments': [], 'guild_id': '1442840006749323387'}}
[2025-12-02 15:16:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-02 15:16:13] [DEBUG   ] discord.client: Dispatching event message
[2025-12-02 15:16:13] [DEBUG   ] discord.client: Dispatching event command
[2025-12-02 15:16:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-02T08:16:13.650000+00:00', 'pinned': False, 'nonce': '9986453546503044942', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1442865601583251479'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T13:12:46.657000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1445327687752351828', 'flags': 0, 'embeds': [{'type': 'rich', 'title': '📰 Tin Tức Mới Nhất 📈', 'id': '1445327687752351829', 'fields': [{'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/dqc-ong-ho-quynh-hung-thoi-lam-dai-dien-phap-luat-dien-quang)', 'name': '1. DQC: Ông Hồ Quỳnh Hưng thôi làm đại diện pháp luật Điện Quang', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/bsr-tham-gia-trien-lam-tai-hoi-nghi-hoa-hoc-toan-quoc-lan-thu-9)', 'name': '2. BSR: Tham gia triển lãm tại Hội nghị Hóa học toàn quốc lần thứ 9', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/mch-vi-sao-masan-consumer-chon-thoi-diem-nay-de-cong-bo-ke-hoach-niem-yet-hose)', 'name': '3. MCH: Vì sao Masan Consumer chọn thời điểm này để công bố kế hoạch niêm yết HOSE?', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/mbb-ngan-hang-dau-tien-tang-lai-suat-thang-12-2025)', 'name': '4. MBB: Ngân hàng đầu tiên tăng lãi suất tháng 12/2025', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/vnz-cha-de-zalo-ngoi-ghe-pho-chu-tich-hdqt)', 'name': '5. VNZ: "Cha đẻ" Zalo ngồi ghế Phó Chủ tịch HĐQT', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/gas-cong-doan-pv-gas-nhiem-ky-2025-2030-doan-ket-dan-chu-ky-cuong-doi-moi-phat-trien)', 'name': '6. GAS: Công đoàn PV GAS nhiệm kỳ 2025 – 2030: Đoàn kết – Dân chủ - Kỷ cương – Đổi mới – Phát triển', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/avc-thuy-dien-a-vuong-avc-chot-danh-sach-tra-co-tuc-con-lai-2024-ty-le-15)', 'name': '7. AVC: Thuỷ điện A Vương (AVC) chốt danh sách trả cổ tức còn lại 2024, tỷ lệ 15%', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/fmc-doanh-thu-sao-ta-fmc-giam-manh-trong-thang-11-2025)', 'name': '8. FMC: Doanh thu Sao Ta (FMC) giảm mạnh trong tháng 11/2025', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/tng-tng-lap-ky-luc-doanh-thu-gan-8-000-ty-sau-11-thang)', 'name': '9. TNG: TNG lập kỷ lục doanh thu gần 8,000 tỷ sau 11 tháng', 'inline': False}, {'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/vic-logistics-dong-nam-bo-troi-day-manh-me-cuoi-nam-2025)', 'name': '10. VIC: Logistics Đông Nam Bộ trỗi dậy mạnh mẽ cuối năm 2025', 'inline': False}], 'content_scan_version': 0, 'color': 3447003}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1442840007629996135', 'author': {'username': 'Golden_cat', 'public_flags': 0, 'primary_guild': None, 'id': '1442862200480989256', 'global_name': None, 'display_name_styles': None, 'discriminator': '2671', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1442840006749323387'}}
[2025-12-02 15:16:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-02 15:16:13] [DEBUG   ] discord.client: Dispatching event message
[2025-12-02 15:16:13] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1442840007629996135/messages with {"embeds":[{"fields":[{"inline":false,"name":"1. DQC: \u00d4ng H\u1ed3 Qu\u1ef3nh H\u01b0ng th\u00f4i l\u00e0m \u0111\u1ea1i di\u1ec7n ph\u00e1p lu\u1eadt \u0110i\u1ec7n Quang","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/dqc-ong-ho-quynh-hung-thoi-lam-dai-dien-phap-luat-dien-quang)"},{"inline":false,"name":"2. BSR: Tham gia tri\u1ec3n l\u00e3m t\u1ea1i H\u1ed9i ngh\u1ecb H\u00f3a h\u1ecdc to\u00e0n qu\u1ed1c l\u1ea7n th\u1ee9 9","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/bsr-tham-gia-trien-lam-tai-hoi-nghi-hoa-hoc-toan-quoc-lan-thu-9)"},{"inline":false,"name":"3. MCH: V\u00ec sao Masan Consumer ch\u1ecdn th\u1eddi \u0111i\u1ec3m n\u00e0y \u0111\u1ec3 c\u00f4ng b\u1ed1 k\u1ebf ho\u1ea1ch ni\u00eam y\u1ebft HOSE?","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/mch-vi-sao-masan-consumer-chon-thoi-diem-nay-de-cong-bo-ke-hoach-niem-yet-hose)"},{"inline":false,"name":"4. MBB: Ng\u00e2n h\u00e0ng \u0111\u1ea7u ti\u00ean t\u0103ng l\u00e3i su\u1ea5t th\u00e1ng 12/2025","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/mbb-ngan-hang-dau-tien-tang-lai-suat-thang-12-2025)"},{"inline":false,"name":"5. VNZ: \"Cha \u0111\u1ebb\" Zalo ng\u1ed3i gh\u1ebf Ph\u00f3 Ch\u1ee7 t\u1ecbch H\u0110QT","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/vnz-cha-de-zalo-ngoi-ghe-pho-chu-tich-hdqt)"},{"inline":false,"name":"6. GAS: C\u00f4ng \u0111o\u00e0n PV GAS nhi\u1ec7m k\u1ef3 2025 \u2013 2030: \u0110o\u00e0n k\u1ebft \u2013 D\u00e2n ch\u1ee7 - K\u1ef7 c\u01b0\u01a1ng \u2013 \u0110\u1ed5i m\u1edbi \u2013 Ph\u00e1t tri\u1ec3n","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/gas-cong-doan-pv-gas-nhiem-ky-2025-2030-doan-ket-dan-chu-ky-cuong-doi-moi-phat-trien)"},{"inline":false,"name":"7. AVC: Thu\u1ef7 \u0111i\u1ec7n A V\u01b0\u01a1ng (AVC) ch\u1ed1t danh s\u00e1ch tr\u1ea3 c\u1ed5 t\u1ee9c c\u00f2n l\u1ea1i 2024, t\u1ef7 l\u1ec7 15%","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/avc-thuy-dien-a-vuong-avc-chot-danh-sach-tra-co-tuc-con-lai-2024-ty-le-15)"},{"inline":false,"name":"8. FMC: Doanh thu Sao Ta (FMC) gi\u1ea3m m\u1ea1nh trong th\u00e1ng 11/2025","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/fmc-doanh-thu-sao-ta-fmc-giam-manh-trong-thang-11-2025)"},{"inline":false,"name":"9. TNG: TNG l\u1eadp k\u1ef7 l\u1ee5c doanh thu g\u1ea7n 8,000 t\u1ef7 sau 11 th\u00e1ng","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/tng-tng-lap-ky-luc-doanh-thu-gan-8-000-ty-sau-11-thang)"},{"inline":false,"name":"10. VIC: Logistics \u0110\u00f4ng Nam B\u1ed9 tr\u1ed7i d\u1eady m\u1ea1nh m\u1ebd cu\u1ed1i n\u0103m 2025","value":"[Xem chi ti\u1ebft t\u1ea1i \u0111\u00e2y](https://trading.vietcap.com.vn/ai-news/post-detail/vic-logistics-dong-nam-bo-troi-day-manh-me-cuoi-nam-2025)"}],"flags":0,"color":3447003,"type":"rich","title":"\ud83d\udcf0 Tin T\u1ee9c M\u1edbi Nh\u1ea5t \ud83d\udcc8"}],"content":null,"components":[],"nonce":"9986453546503044942","enforce_nonce":true,"tts":false} has returned 200
[2025-12-02 15:16:13] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-02 15:16:13] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1442840007629996135/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': '📰 Tin Tức Mới Nhất 📈', 'color': 3447003, 'fields': [{'name': '1. DQC: Ông Hồ Quỳnh Hưng thôi làm đại diện pháp luật Điện Quang', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/dqc-ong-ho-quynh-hung-thoi-lam-dai-dien-phap-luat-dien-quang)', 'inline': False}, {'name': '2. BSR: Tham gia triển lãm tại Hội nghị Hóa học toàn quốc lần thứ 9', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/bsr-tham-gia-trien-lam-tai-hoi-nghi-hoa-hoc-toan-quoc-lan-thu-9)', 'inline': False}, {'name': '3. MCH: Vì sao Masan Consumer chọn thời điểm này để công bố kế hoạch niêm yết HOSE?', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/mch-vi-sao-masan-consumer-chon-thoi-diem-nay-de-cong-bo-ke-hoach-niem-yet-hose)', 'inline': False}, {'name': '4. MBB: Ngân hàng đầu tiên tăng lãi suất tháng 12/2025', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/mbb-ngan-hang-dau-tien-tang-lai-suat-thang-12-2025)', 'inline': False}, {'name': '5. VNZ: "Cha đẻ" Zalo ngồi ghế Phó Chủ tịch HĐQT', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/vnz-cha-de-zalo-ngoi-ghe-pho-chu-tich-hdqt)', 'inline': False}, {'name': '6. GAS: Công đoàn PV GAS nhiệm kỳ 2025 – 2030: Đoàn kết – Dân chủ - Kỷ cương – Đổi mới – Phát triển', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/gas-cong-doan-pv-gas-nhiem-ky-2025-2030-doan-ket-dan-chu-ky-cuong-doi-moi-phat-trien)', 'inline': False}, {'name': '7. AVC: Thuỷ điện A Vương (AVC) chốt danh sách trả cổ tức còn lại 2024, tỷ lệ 15%', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/avc-thuy-dien-a-vuong-avc-chot-danh-sach-tra-co-tuc-con-lai-2024-ty-le-15)', 'inline': False}, {'name': '8. FMC: Doanh thu Sao Ta (FMC) giảm mạnh trong tháng 11/2025', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/fmc-doanh-thu-sao-ta-fmc-giam-manh-trong-thang-11-2025)', 'inline': False}, {'name': '9. TNG: TNG lập kỷ lục doanh thu gần 8,000 tỷ sau 11 tháng', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/tng-tng-lap-ky-luc-doanh-thu-gan-8-000-ty-sau-11-thang)', 'inline': False}, {'name': '10. VIC: Logistics Đông Nam Bộ trỗi dậy mạnh mẽ cuối năm 2025', 'value': '[Xem chi tiết tại đây](https://trading.vietcap.com.vn/ai-news/post-detail/vic-logistics-dong-nam-bo-troi-day-manh-me-cuoi-nam-2025)', 'inline': False}], 'content_scan_version': 0}], 'timestamp': '2025-12-02T08:16:13.650000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1445327687752351828', 'channel_id': '1442840007629996135', 'author': {'id': '1442862200480989256', 'username': 'Golden_cat', 'avatar': None, 'discriminator': '2671', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9986453546503044942'}
[2025-12-02 15:16:13] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-12-02 15:16:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-12-02 15:16:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-12-02 15:17:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-12-02 15:17:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-12-02 15:18:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-12-02 15:18:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
